name,price,img,km,bathroom,sleepingroom,latitude,longitude,address,address_accurate,row_address
شقة مساحة 185م2 مع روف 100م2 بلاقساط تصل 36 شهر مع روف بموقع بخلدا,98000,https://opensooq-images.os-cdn.com/previews/220x0/8372/ab2a/8372ab2a0f084cafd262c2f6de4e357ad586ec0eda3961824020ace39d8d04e1.jpg.jpg,185,٣ حمّامات,٣ غرف نوم,31.9998333,35.8498379,عمان خلدا,"خلدا, الكمالية, عمان, 11196, Jordan / الأُرْدُن","{'place_id': 7170579, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 802863518, 'boundingbox': ['31.9997833', '31.9998833', '35.8497879', '35.8498879'], 'lat': '31.9998333', 'lon': '35.8498379', 'display_name': 'خلدا, الكمالية, عمان, 11196, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
شقق للبيع في أجمل مناطق شفا بدران,46000,https://opensooq-images.os-cdn.com/previews/220x0/9cfd/bee5/9cfdbee53099f6444a4ee7d79d39cd46698786833a89423ab278caeb0950d55c.jpg.jpg,110,٣ حمّامات,٣ غرف نوم,32.0471187,35.9093754,عمان شفا بدران,"شارع شفا بدران, شفابدران, عمان, 0962, Jordan / الأُرْدُن","{'place_id': 98470049, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 40223331, 'boundingbox': ['32.0405754', '32.053643', '35.9081818', '35.9112'], 'lat': '32.0471187', 'lon': '35.9093754', 'display_name': 'شارع شفا بدران, شفابدران, عمان, 0962, Jordan / الأُرْدُن', 'class': 'highway', 'type': 'secondary', 'importance': 0.41000000000000003}"
شقة طابق ثالث  140m سوبر ديلوكس بمنطقه مطلة وهادئه,52000,https://opensooq-images.os-cdn.com/previews/220x0/2dcd/8ebb/2dcd8ebb85cf6207b4aaae2a53c5e9fa6a316836d86e558bbbef640fd55540a5.jpg.jpg,140,٣ حمّامات,٣ غرف نوم,32.003056,35.947222,عمان طبربور,"طبربور, طارق, عمان, 11191, Jordan / الأُرْدُن","{'place_id': 7076065, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 798899785, 'boundingbox': ['32.003006', '32.003106', '35.947172', '35.947272'], 'lat': '32.003056', 'lon': '35.947222', 'display_name': 'طبربور, طارق, عمان, 11191, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
بالاقساط 500 شهري ( 70 شهر) مرج الحمام ومن المالك,62000,https://opensooq-images.os-cdn.com/previews/220x0/b893/da5c/b893da5ce5c84409ba5c130deb26bc11b29c655ea0ac99d31d5d149928c06ed1.jpg.jpg,120,٣ حمّامات,٣ غرف نوم,31.9016521,35.8517493,عمان مرج الحمام,"مرج الحمام, عمان, 11821, Jordan / الأُرْدُن","{'place_id': 50903492, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4064715581, 'boundingbox': ['31.7416521', '32.0616521', '35.6917493', '36.0117493'], 'lat': '31.9016521', 'lon': '35.8517493', 'display_name': 'مرج الحمام, عمان, 11821, Jordan / الأُرْدُن', 'class': 'place', 'type': 'city', 'importance': 0.6752906718837797, 'icon': 'https://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png'}"
name,price,img,km,bathroom,sleepingroom,latitude,longitude,address,address_accurate,row_address
شقق سكنيه مساحة 150 م2 منطقة الطبقه مرج الحمام سوبر ديلوكس 3 غرف نوم متوفر اول و,82000,https://opensooq-images.os-cdn.com/previews/220x0/5ca7/a1ff/5ca7a1fff6bfdba25d7cf51ab26b42cbf37e36ef4b84d1ca2be9a8b7ee06136f.jpg.jpg,150,٣ حمّامات,٣ غرف نوم,31.9016521,35.8517493,عمان مرج الحمام,"مرج الحمام, عمان, 11821, Jordan / الأُرْدُن","{'place_id': 50903492, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4064715581, 'boundingbox': ['31.7416521', '32.0616521', '35.6917493', '36.0117493'], 'lat': '31.9016521', 'lon': '35.8517493', 'display_name': 'مرج الحمام, عمان, 11821, Jordan / الأُرْدُن', 'class': 'place', 'type': 'city', 'importance': 0.6752906718837797, 'icon': 'https://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png'}"
اسكان جديد شقق ارضية بسعر مميز - حرقنا الاسعار- نزلنا الاسعار,57000,https://opensooq-images.os-cdn.com/previews/220x0/1f56/b924/1f56b92493d75ca42cf6c12f109275ae0c919fa2e1d0a6d0c2a48e1a2a8a60ff.jpg.jpg,150,٣ حمّامات,٣ غرف نوم,32.003056,35.947222,عمان طبربور,"طبربور, طارق, عمان, 11191, Jordan / الأُرْدُن","{'place_id': 7076065, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 798899785, 'boundingbox': ['32.003006', '32.003106', '35.947172', '35.947272'], 'lat': '32.003056', 'lon': '35.947222', 'display_name': 'طبربور, طارق, عمان, 11191, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
شقه جديده جاهزة للسكن بإطلالة مذهلة مع مطبخ في اجمل عمارات روابي ابو نصير,51900,https://opensooq-images.os-cdn.com/previews/220x0/59ab/f18a/59abf18a2457e9cdb757970f7d2880bc3e3dc937cb7da34b0e7364346344f11c.jpg.jpg,117,٣ حمّامات,٣ غرف نوم,32.0519988,35.8805481,عمان ابو نصير,"أبو نصير, عمان, 0962, Jordan / الأُرْدُن","{'place_id': 52708818, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4267496190, 'boundingbox': ['32.0519488', '32.0520488', '35.8804981', '35.8805981'], 'lat': '32.0519988', 'lon': '35.8805481', 'display_name': 'أبو نصير, عمان, 0962, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.41}"
شقة مميزة للبيع بأجمل مناطق الجامعة الاردنية,37000,https://opensooq-images.os-cdn.com/previews/220x0/6f0f/3ce9/6f0f3ce9946f29910eb4ae48630d8343f73455ca75758d26ba347f4abf34ea1a.jpg.jpg,65,حمّامين,٢ غرفتا نوم,32.0206576,35.8685747,عمان الجبيهة,"الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن","{'place_id': 52099805, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4267496191, 'boundingbox': ['32.0206076', '32.0207076', '35.8685247', '35.8686247'], 'lat': '32.0206576', 'lon': '35.8685747', 'display_name': 'الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
شقة استثمارية للبيع بأرقى مناطق الجامعة الاردنية مساحة 140م,74000,https://opensooq-images.os-cdn.com/previews/220x0/5fee/4aa0/5fee4aa0ed2ffa759043600f271f04e781a97a690b51464bba37e746fd40c393.jpg.jpg,140,٤ حمّامات,٤ غرف نوم,32.0206576,35.8685747,عمان الجبيهة,"الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن","{'place_id': 52099805, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4267496191, 'boundingbox': ['32.0206076', '32.0207076', '35.8685247', '35.8686247'], 'lat': '32.0206576', 'lon': '35.8685747', 'display_name': 'الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
شقة ارضية مساحة 222م2 مع ترس طريق المطار مقابل كلية لومينوس تشطيبات فندقية,120000,https://opensooq-images.os-cdn.com/previews/220x0/cc07/779f/cc07779f4f2103f08245b8985f8700c5f7f51876aab82cbaa2fe307c4705f056.jpg.jpg,222,٣ حمّامات,٣ غرف نوم,31.3664323,36.0745529,عمان طريق المطار,"شارع مطار الملكة علياء, سواقة الغربية, عمان, Jordan / الأُرْدُن","{'place_id': 224624038, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 700878717, 'boundingbox': ['31.3664323', '31.3674181', '36.0744549', '36.0745529'], 'lat': '31.3664323', 'lon': '36.0745529', 'display_name': 'شارع مطار الملكة علياء, سواقة الغربية, عمان, Jordan / الأُرْدُن', 'class': 'highway', 'type': 'trunk', 'importance': 0.21}"
شقة رائعة للبيع في اجمل عمارات و موقع بالرابية,119000,https://opensooq-images.os-cdn.com/previews/220x0/2baf/4500/2baf4500614fd493e08b5cf1580d40ee721232d0da2c3839fa84e4a7af800111.jpg.jpg,175,٤ حمّامات,٣ غرف نوم,31.9738582,35.8837307,عمان الرابية,"الرابية, عمان, 962, Jordan / الأُرْدُن","{'place_id': 51022391, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4003468991, 'boundingbox': ['31.9738082', '31.9739082', '35.8836807', '35.8837807'], 'lat': '31.9738582', 'lon': '35.8837307', 'display_name': 'الرابية, عمان, 962, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
